brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
Charlotte Tilbury,Eye Care,1353,0.758,4.342,86.9,4.36,0.8642
Paula's Choice,Cleansers,2067,0.6348,4.513,89.1,9.97,0.8619
iNNBEAUTY PROJECT,Cleansers,365,0.6844,4.427,88.2,7.95,0.8619
Clarins,Eye Care,1321,0.7302,4.337,87.5,5.37,0.8614
Dr. Jart+,Cleansers,1318,0.73,4.311,87.8,5.39,0.8608
LANEIGE,Moisturizers,3911,0.7435,4.373,86.2,5.47,0.8607
IT Cosmetics,Cleansers,955,0.7107,4.464,86.2,5.86,0.8606
Shiseido,Moisturizers,3219,0.7692,4.527,82.6,3.14,0.8605
Summer Fridays,Eye Care,381,0.7671,4.36,85.0,4.72,0.8594
EADEM,Treatments,221,0.7048,4.434,86.4,8.6,0.8587
Augustinus Bader,Moisturizers,1218,0.7612,4.328,85.6,5.99,0.8587
Josie Maran,Cleansers,678,0.7704,4.245,86.3,3.83,0.8578
Estée Lauder,Moisturizers,6729,0.7701,4.275,85.8,2.7,0.8576
Kiehl's Since 1851,Moisturizers,4822,0.6958,4.412,86.9,6.78,0.8575
Sunday Riley,Eye Care,3412,0.7437,4.334,85.9,5.74,0.857
Moon Juice,Treatments,622,0.706,4.441,85.9,7.72,0.857
NUDESTIX,Moisturizers,226,0.8276,4.124,85.4,2.21,0.8567
Charlotte Tilbury,Moisturizers,3865,0.7497,4.323,85.6,4.76,0.8564
goop,Mini Size,4434,0.7643,4.298,85.3,4.42,0.8562
OLEHENRIKSEN,Treatments,3874,0.7564,4.295,85.7,5.89,0.8561
StriVectin,Moisturizers,605,0.7021,4.375,86.8,8.26,0.8559
TULA Skincare,Moisturizers,1265,0.7583,4.231,86.5,4.66,0.8556
iNNBEAUTY PROJECT,Lip Balms & Treatments,206,0.7344,4.422,84.5,4.85,0.8553
Lancôme,Eye Care,2129,0.7443,4.372,84.8,4.84,0.8553
Peter Thomas Roth,Sunscreen,656,0.7307,4.386,85.1,6.1,0.8547
innisfree,Cleansers,287,0.7364,4.411,84.3,6.62,0.8543
WASO,Treatments,804,0.7029,4.31,87.3,5.35,0.8541
CAY SKIN,Sunscreen,502,0.7599,4.313,84.7,5.98,0.8537
Farmacy,Cleansers,15912,0.7004,4.475,84.6,6.37,0.853
Wishful,Moisturizers,1367,0.736,4.338,85.1,5.93,0.8527
SEPHORA COLLECTION,Eye Care,610,0.7117,4.328,86.1,6.39,0.8518
Shani Darden Skin Care,Treatments,1396,0.6761,4.383,86.6,8.67,0.8511
Moon Juice,Wellness,833,0.6431,4.424,87.4,11.76,0.8511
Lancôme,Value & Gift Sets,1062,0.7432,4.239,85.8,5.93,0.8506
REN Clean Skincare,Eye Care,370,0.6889,4.303,87.0,8.11,0.8501
SOBEL SKIN Rx,Treatments,307,0.6903,4.303,87.0,6.84,0.8501
LANEIGE,Value & Gift Sets,303,0.6991,4.413,84.8,7.59,0.8499
LANEIGE,Cleansers,367,0.743,4.327,84.2,4.9,0.8498
PROVEN Skincare,Value & Gift Sets,209,0.7586,4.34,83.3,8.13,0.8495
TULA Skincare,Treatments,541,0.7659,4.224,84.7,4.25,0.8492
SK-II,Eye Care,747,0.729,4.323,84.6,4.82,0.8487
Kiehl's Since 1851,Masks,1312,0.6786,4.389,85.7,7.39,0.8486
Bobbi Brown,Moisturizers,3872,0.7911,4.532,78.2,3.59,0.8468
Summer Fridays,Treatments,1612,0.7174,4.379,83.4,6.7,0.8452
Kiehl's Since 1851,Cleansers,2384,0.6915,4.391,84.1,7.13,0.8443
Wishful,Cleansers,2674,0.6843,4.332,85.1,9.09,0.8433
Herbivore,Treatments,1046,0.731,4.319,83.2,6.69,0.8431
TULA Skincare,Eye Care,1063,0.7756,4.127,84.2,4.33,0.843
St. Tropez,Self Tanners,4395,0.7532,4.365,81.4,5.6,0.8428
Summer Fridays,Lip Balms & Treatments,1200,0.7271,4.321,83.3,5.92,0.8428
The Ordinary,Masks,637,0.5743,4.367,89.2,11.46,0.8426
Glow Recipe,Mini Size,5505,0.7225,4.31,83.5,6.29,0.8424
Algenist,Eye Care,1377,0.7009,4.407,82.8,4.72,0.8417
PMD,High Tech Tools,801,0.7699,4.396,79.8,6.49,0.8411
Dr. Dennis Gross Skincare,Cleansers,1048,0.649,4.387,85.2,9.64,0.8411
alpyn beauty,Eye Care,262,0.7505,4.321,81.7,8.02,0.8406
Naturally Serious,Moisturizers,345,0.7149,4.319,83.2,8.12,0.8403
SEPHORA COLLECTION,High Tech Tools,769,0.6714,4.338,84.7,8.71,0.8398
Kiehl's Since 1851,Mini Size,4225,0.6569,4.39,84.5,7.76,0.8398
BeautyBio,Moisturizers,243,0.709,4.305,83.5,6.58,0.8398
Shani Darden Skin Care,Moisturizers,239,0.6846,4.335,84.1,7.53,0.8396
Fenty Skin,Lip Balms & Treatments,933,0.7258,4.312,82.6,5.68,0.8396
GLO Science,High Tech Tools,492,0.6957,4.341,83.3,7.93,0.8389
SEPHORA COLLECTION,Treatments,3962,0.6839,4.278,84.7,6.94,0.8383
Dr. Dennis Gross Skincare,Eye Care,637,0.656,4.344,84.8,9.58,0.8379
goop,Treatments,1475,0.7178,4.208,84.1,6.03,0.8377
IT Cosmetics,Moisturizers,6888,0.7226,4.297,82.4,6.1,0.8373
The INKEY List,Masks,227,0.6543,4.308,85.0,8.37,0.8364
Skinfix,Moisturizers,6734,0.674,4.338,83.6,9.43,0.8358
Peace Out,Moisturizers,221,0.6431,4.262,86.0,10.41,0.8353
goop,Eye Care,727,0.7133,4.204,83.6,6.33,0.8346
Youth To The People,Masks,2702,0.6698,4.339,83.2,8.25,0.8335
JLo Beauty,Eye Care,449,0.7604,4.156,81.7,4.68,0.8323
Glow Recipe,Cleansers,6444,0.714,4.245,82.0,6.87,0.8308
Dr. Jart+,Masks,3744,0.6885,4.395,80.7,6.44,0.8306
La Mer,Moisturizers,3255,0.7236,4.308,80.4,6.18,0.8299
LANEIGE,Lip Balms & Treatments,20514,0.6643,4.352,82.3,6.98,0.8298
Dr. Brandt Skincare,Masks,1731,0.7131,4.367,79.6,7.45,0.8287
The Nue Co.,Wellness,886,0.6422,4.29,83.9,7.45,0.8284
JLo Beauty,Moisturizers,1020,0.7676,4.154,80.3,5.39,0.8276
The Ordinary,Moisturizers,2293,0.5859,4.338,85.2,10.64,0.827
Charlotte Tilbury,Treatments,954,0.7581,4.159,80.4,4.82,0.8267
Dr. Barbara Sturm,Moisturizers,1721,0.7323,4.225,80.5,4.3,0.8266
Paula's Choice,Sunscreen,599,0.6645,4.285,82.5,8.18,0.8265
Lancôme,Treatments,2289,0.7478,4.417,76.7,4.63,0.8261
goop,Moisturizers,1613,0.7396,4.15,81.1,5.02,0.8257
Drunk Elephant,Mini Size,1299,0.6935,4.203,82.1,8.39,0.8251
Wishful,Mini Size,2212,0.6613,4.244,82.5,10.17,0.8237
JLo Beauty,Cleansers,363,0.7644,4.099,80.2,4.96,0.8231
Youth To The People,Cleansers,7775,0.6927,4.285,80.4,7.65,0.8231
Shani Darden Skin Care,Mini Size,1012,0.6378,4.257,83.0,10.38,0.8222
Fenty Skin,Moisturizers,1480,0.6863,4.2,81.6,7.43,0.8216
Farmacy,Moisturizers,5564,0.6745,4.297,80.5,9.0,0.821
KORA Organics,Mini Size,1657,0.6985,4.32,78.9,7.66,0.8205
Clarins,Treatments,2622,0.7588,4.244,77.3,3.97,0.82
Glow Recipe,Eye Care,2809,0.6696,4.23,81.5,9.22,0.8198
Tatcha,Eye Care,1544,0.7237,4.152,80.2,6.8,0.8196
SEPHORA COLLECTION,Wellness,721,0.6717,4.227,81.3,9.71,0.8194
Peace Out,Eye Care,1510,0.6869,4.214,80.8,7.95,0.8192
Youth To The People,Moisturizers,5581,0.6816,4.29,79.7,7.62,0.8188
belif,Moisturizers,14077,0.7058,4.511,75.2,5.83,0.8188
Glow Recipe,Moisturizers,4370,0.7227,4.186,79.5,6.38,0.8187
KORRES,Moisturizers,8810,0.7464,4.38,75.3,3.86,0.8181
Biossance,Cleansers,2014,0.701,4.201,80.0,7.2,0.8179
Biossance,Moisturizers,5254,0.6749,4.269,79.9,8.64,0.8172
BeautyBio,Eye Care,263,0.6709,4.179,81.4,8.75,0.8165
KORA Organics,Eye Care,808,0.7052,4.209,79.3,8.42,0.8163
Youth To The People,Mini Size,10267,0.6726,4.268,79.8,8.15,0.8162
OLEHENRIKSEN,Mini Size,588,0.7048,4.238,78.7,6.63,0.8157
Caudalie,Masks,1535,0.7359,4.547,72.0,5.47,0.8134
Fenty Skin,Value & Gift Sets,279,0.7212,4.068,79.9,6.45,0.8127
Kiehl's Since 1851,Treatments,4414,0.6567,4.178,80.8,7.97,0.8116
Skinfix,Masks,242,0.6663,4.161,80.6,8.26,0.8115
CAY SKIN,Lip Balms & Treatments,283,0.7002,4.173,78.8,6.71,0.8111
Estée Lauder,Treatments,6087,0.6895,4.1,80.3,5.63,0.8104
Peter Thomas Roth,Moisturizers,4219,0.6954,4.327,76.4,6.54,0.8103
The Ordinary,Cleansers,3898,0.569,4.255,83.0,11.62,0.8102
The Ordinary,Eye Care,249,0.6857,3.988,81.5,5.22,0.8079
Murad,Eye Care,1272,0.6821,4.351,75.8,8.02,0.8069
The INKEY List,Treatments,10529,0.5958,4.163,82.4,9.97,0.8067
REN Clean Skincare,Moisturizers,2738,0.6997,4.377,74.4,7.01,0.8061
Herbivore,Cleansers,1340,0.674,4.299,76.6,9.1,0.8054
Fenty Skin,Cleansers,1245,0.6808,4.135,78.7,7.95,0.8049
Murad,Treatments,7504,0.667,4.37,75.6,8.53,0.8049
ONE/SIZE by Patrick Starrr,Cleansers,253,0.6117,4.178,80.6,9.49,0.8032
Dr. Dennis Gross Skincare,Treatments,11494,0.6537,4.522,73.1,7.55,0.8019
Farmacy,Lip Balms & Treatments,834,0.5999,4.251,79.6,9.59,0.8016
Tatcha,Mini Size,11614,0.6685,4.182,77.6,8.58,0.8013
Estée Lauder,Mini Size,2423,0.6775,4.048,79.2,5.9,0.801
ONE/SIZE by Patrick Starrr,Mini Size,257,0.6035,4.171,80.5,9.73,0.801
Shani Darden Skin Care,Eye Care,254,0.5846,4.209,80.7,13.78,0.8007
Tatcha,Moisturizers,16976,0.6878,4.228,75.7,7.27,0.7999
Paula's Choice,Mini Size,412,0.5224,4.218,83.0,13.11,0.7996
Community Sixty-Six,Moisturizers,527,0.6377,4.068,80.3,8.73,0.7994
REN Clean Skincare,Cleansers,3057,0.6234,4.157,79.4,11.61,0.799
goop,Wellness,1136,0.7695,3.967,75.5,4.49,0.7972
OLEHENRIKSEN,Cleansers,8751,0.7075,4.349,71.8,6.7,0.7952
The Ordinary,Treatments,28705,0.5427,4.194,81.3,12.56,0.795
Origins,Mini Size,350,0.5852,4.174,79.7,11.43,0.7947
Mount Lai,High Tech Tools,303,0.602,4.129,79.5,12.87,0.7941
Tatcha,Cleansers,8417,0.6951,4.382,71.3,7.13,0.7932
JLo Beauty,Masks,307,0.7024,4.013,76.5,9.12,0.7924
Summer Fridays,Cleansers,313,0.6953,4.086,75.4,8.31,0.7912
TAN-LUXE,Self Tanners,1487,0.6582,4.058,77.1,9.82,0.7898
Dr. Jart+,Moisturizers,9538,0.6736,4.159,74.5,8.49,0.7883
Drunk Elephant,Treatments,12205,0.6439,4.284,73.8,9.9,0.7881
Peace Out,Treatments,8952,0.5538,4.14,79.8,13.46,0.7874
Wander Beauty,Eye Care,558,0.617,4.084,77.8,9.14,0.7868
JLo Beauty,Treatments,731,0.6941,4.029,75.1,9.3,0.7862
KORA Organics,Masks,582,0.6308,4.098,76.8,10.82,0.7862
TULA Skincare,Cleansers,1045,0.6981,3.952,75.6,6.89,0.7841
Dr. Barbara Sturm,Mini Size,1732,0.6968,3.983,75.2,6.24,0.7841
Dr. Barbara Sturm,Treatments,1958,0.686,3.996,75.3,6.54,0.7836
Kiehl's Since 1851,Eye Care,3290,0.6199,4.055,77.2,9.67,0.7833
Tower 28 Beauty,Moisturizers,848,0.5372,4.163,78.8,14.03,0.7818
Drunk Elephant,Masks,3653,0.6057,4.252,74.3,11.47,0.7816
Supergoop!,Mini Size,4711,0.619,4.196,74.4,10.42,0.7809
Mount Lai,Wellness,406,0.6139,4.074,76.4,12.32,0.78
HUM Nutrition,Wellness,4405,0.6172,4.265,72.7,11.51,0.7778
SK-II,Cleansers,1918,0.6994,4.114,71.3,6.83,0.7771
Summer Fridays,Masks,9857,0.6246,4.035,75.6,10.89,0.7764
Sunday Riley,Treatments,8333,0.6752,4.31,68.6,9.22,0.7745
Drunk Elephant,Value & Gift Sets,888,0.6888,4.311,67.9,8.67,0.7741
Supergoop!,Sunscreen,12653,0.6466,4.069,73.4,10.39,0.7734
Lancôme,Cleansers,2178,0.7536,4.487,62.1,4.45,0.7733
Tatcha,Masks,942,0.7084,4.211,68.0,7.22,0.7719
SEPHORA COLLECTION,Masks,2592,0.6043,3.992,76.0,10.61,0.7716
Dr. Jart+,Treatments,2950,0.5963,3.969,76.5,11.97,0.7708
Drunk Elephant,Moisturizers,11114,0.6076,4.075,74.2,11.03,0.7703
MILK MAKEUP,Moisturizers,4243,0.683,4.061,71.0,7.71,0.7698
The INKEY List,Moisturizers,2144,0.5817,3.986,76.3,11.47,0.7685
FOREO,High Tech Tools,846,0.6369,3.907,75.1,14.07,0.7684
